comment_sentence_id,class,category,comment_sentence,partition,instance_type,outlier
18,Atomic,Summary,"when it s used as a decorator, call wraps the execution of the",0,0,0
18,Atomic,Usage,"when it s used as a decorator, call wraps the execution of the",0,1,0
19,Atomic,DevelopmentNotes,"decorated function in the instance itself, used as a context manager.",1,0,0
19,Atomic,Expand,"decorated function in the instance itself, used as a context manager.",1,1,0
19,Atomic,Parameters,"decorated function in the instance itself, used as a context manager.",0,0,0
19,Atomic,Summary,"decorated function in the instance itself, used as a context manager.",1,0,0
19,Atomic,Usage,"decorated function in the instance itself, used as a context manager.",1,1,0
20,Atomic,DevelopmentNotes,"when it s used as a context manager, enter creates a transaction or a",0,0,0
20,Atomic,Expand,"when it s used as a context manager, enter creates a transaction or a",0,0,0
20,Atomic,Parameters,"when it s used as a context manager, enter creates a transaction or a",1,0,0
20,Atomic,Summary,"when it s used as a context manager, enter creates a transaction or a",0,0,0
20,Atomic,Usage,"when it s used as a context manager, enter creates a transaction or a",0,1,0
21,Atomic,DevelopmentNotes,"savepoint, depending on whether a transaction is already in progress, and",1,0,0
21,Atomic,Expand,"savepoint, depending on whether a transaction is already in progress, and",1,0,0
21,Atomic,Parameters,"savepoint, depending on whether a transaction is already in progress, and",0,0,0
21,Atomic,Summary,"savepoint, depending on whether a transaction is already in progress, and",1,0,0
21,Atomic,Usage,"savepoint, depending on whether a transaction is already in progress, and",1,1,0
22,Atomic,DevelopmentNotes,"exit commits the transaction or releases the savepoint on normal exit,",0,0,0
22,Atomic,Expand,"exit commits the transaction or releases the savepoint on normal exit,",0,0,0
22,Atomic,Parameters,"exit commits the transaction or releases the savepoint on normal exit,",1,0,0
22,Atomic,Summary,"exit commits the transaction or releases the savepoint on normal exit,",0,0,0
22,Atomic,Usage,"exit commits the transaction or releases the savepoint on normal exit,",0,1,0
23,Atomic,DevelopmentNotes,and rolls back the transaction or to the savepoint on exceptions.,1,0,0
23,Atomic,Expand,and rolls back the transaction or to the savepoint on exceptions.,1,0,0
23,Atomic,Parameters,and rolls back the transaction or to the savepoint on exceptions.,0,0,0
23,Atomic,Summary,and rolls back the transaction or to the savepoint on exceptions.,1,0,0
23,Atomic,Usage,and rolls back the transaction or to the savepoint on exceptions.,1,1,0
24,Atomic,DevelopmentNotes,it s possible to disable the creation of savepoints if the goal is to,0,0,0
24,Atomic,Expand,it s possible to disable the creation of savepoints if the goal is to,0,0,0
24,Atomic,Parameters,it s possible to disable the creation of savepoints if the goal is to,1,0,0
24,Atomic,Summary,it s possible to disable the creation of savepoints if the goal is to,0,0,0
24,Atomic,Usage,it s possible to disable the creation of savepoints if the goal is to,0,1,0
25,Atomic,DevelopmentNotes,ensure that some code runs within a transaction without creating overhead.,1,0,0
25,Atomic,Expand,ensure that some code runs within a transaction without creating overhead.,1,0,0
25,Atomic,Parameters,ensure that some code runs within a transaction without creating overhead.,0,0,0
25,Atomic,Summary,ensure that some code runs within a transaction without creating overhead.,1,0,0
25,Atomic,Usage,ensure that some code runs within a transaction without creating overhead.,1,1,0
26,Atomic,DevelopmentNotes,a stack of savepoints identifiers is maintained as an attribute of the,0,0,0
26,Atomic,Expand,a stack of savepoints identifiers is maintained as an attribute of the,0,0,0
26,Atomic,Parameters,a stack of savepoints identifiers is maintained as an attribute of the,1,0,0
26,Atomic,Summary,a stack of savepoints identifiers is maintained as an attribute of the,0,0,0
26,Atomic,Usage,a stack of savepoints identifiers is maintained as an attribute of the,0,1,0
27,Atomic,DevelopmentNotes,connection.,0,0,0
27,Atomic,Expand,connection.,0,0,0
27,Atomic,Parameters,connection.,1,0,0
27,Atomic,Summary,connection.,1,0,0
27,Atomic,Usage,connection.,1,1,0
28,Atomic,DevelopmentNotes,none denotes the absence of a savepoint.,1,0,0
28,Atomic,Expand,none denotes the absence of a savepoint.,1,0,0
28,Atomic,Parameters,none denotes the absence of a savepoint.,0,0,0
28,Atomic,Summary,none denotes the absence of a savepoint.,0,0,0
28,Atomic,Usage,none denotes the absence of a savepoint.,0,1,0
29,Atomic,DevelopmentNotes,this allows reentrancy even if the same atomicwrapper is reused.,0,0,0
29,Atomic,Expand,this allows reentrancy even if the same atomicwrapper is reused.,0,0,0
29,Atomic,Parameters,this allows reentrancy even if the same atomicwrapper is reused.,1,0,0
29,Atomic,Summary,this allows reentrancy even if the same atomicwrapper is reused.,1,0,0
29,Atomic,Usage,this allows reentrancy even if the same atomicwrapper is reused.,1,1,0
50,AtomicTests,DevelopmentNotes,tests for the atomic decorator and context manager.,0,0,0
50,AtomicTests,Expand,tests for the atomic decorator and context manager.,1,0,0
50,AtomicTests,Parameters,tests for the atomic decorator and context manager.,1,0,0
50,AtomicTests,Summary,tests for the atomic decorator and context manager.,1,1,0
50,AtomicTests,Usage,tests for the atomic decorator and context manager.,1,0,0
51,AtomicTests,DevelopmentNotes,the tests make assertions on internal attributes because there isn t a,1,0,0
51,AtomicTests,Expand,the tests make assertions on internal attributes because there isn t a,1,1,0
51,AtomicTests,Parameters,the tests make assertions on internal attributes because there isn t a,0,0,0
51,AtomicTests,Summary,the tests make assertions on internal attributes because there isn t a,1,0,0
51,AtomicTests,Usage,the tests make assertions on internal attributes because there isn t a,0,0,0
52,AtomicTests,DevelopmentNotes,robust way to ask the database for its current transaction state.,0,0,0
52,AtomicTests,Expand,robust way to ask the database for its current transaction state.,1,1,0
52,AtomicTests,Parameters,robust way to ask the database for its current transaction state.,1,0,0
52,AtomicTests,Summary,robust way to ask the database for its current transaction state.,0,0,0
52,AtomicTests,Usage,robust way to ask the database for its current transaction state.,1,0,0
53,AtomicTests,DevelopmentNotes,since the decorator syntax is converted into a context manager see the,1,0,0
53,AtomicTests,Expand,since the decorator syntax is converted into a context manager see the,1,1,0
53,AtomicTests,Parameters,since the decorator syntax is converted into a context manager see the,0,0,0
53,AtomicTests,Summary,since the decorator syntax is converted into a context manager see the,1,0,0
53,AtomicTests,Usage,since the decorator syntax is converted into a context manager see the,0,0,0
54,AtomicTests,DevelopmentNotes,"implementation , there are only a few basic tests with the decorator",0,0,0
54,AtomicTests,Expand,"implementation , there are only a few basic tests with the decorator",0,1,0
54,AtomicTests,Parameters,"implementation , there are only a few basic tests with the decorator",1,0,0
54,AtomicTests,Summary,"implementation , there are only a few basic tests with the decorator",0,0,0
54,AtomicTests,Usage,"implementation , there are only a few basic tests with the decorator",1,0,0
55,AtomicTests,DevelopmentNotes,syntax and the bulk of the tests use the context manager syntax.,1,0,0
55,AtomicTests,Expand,syntax and the bulk of the tests use the context manager syntax.,1,1,0
55,AtomicTests,Parameters,syntax and the bulk of the tests use the context manager syntax.,0,0,0
55,AtomicTests,Summary,syntax and the bulk of the tests use the context manager syntax.,1,0,0
55,AtomicTests,Usage,syntax and the bulk of the tests use the context manager syntax.,0,0,0
62,AutoFieldMeta,DevelopmentNotes,metaclass to maintain backward inheritance compatibility for autofield.,0,0,0
62,AutoFieldMeta,Expand,metaclass to maintain backward inheritance compatibility for autofield.,0,0,0
62,AutoFieldMeta,Parameters,metaclass to maintain backward inheritance compatibility for autofield.,1,0,0
62,AutoFieldMeta,Summary,metaclass to maintain backward inheritance compatibility for autofield.,1,1,0
62,AutoFieldMeta,Usage,metaclass to maintain backward inheritance compatibility for autofield.,1,0,0
63,AutoFieldMeta,DevelopmentNotes,it is intended that autofieldmixin become public api when it is possible to,0,0,0
63,AutoFieldMeta,Expand,it is intended that autofieldmixin become public api when it is possible to,0,1,0
63,AutoFieldMeta,Parameters,it is intended that autofieldmixin become public api when it is possible to,1,0,0
63,AutoFieldMeta,Summary,it is intended that autofieldmixin become public api when it is possible to,0,0,0
63,AutoFieldMeta,Usage,it is intended that autofieldmixin become public api when it is possible to,1,0,0
64,AutoFieldMeta,DevelopmentNotes,create a non integer automatically generated field using column defaults,1,0,0
64,AutoFieldMeta,Expand,create a non integer automatically generated field using column defaults,1,1,0
64,AutoFieldMeta,Parameters,create a non integer automatically generated field using column defaults,1,0,0
64,AutoFieldMeta,Summary,create a non integer automatically generated field using column defaults,0,0,0
64,AutoFieldMeta,Usage,create a non integer automatically generated field using column defaults,0,0,0
65,AutoFieldMeta,DevelopmentNotes,stored in the database.,0,0,0
65,AutoFieldMeta,Expand,stored in the database.,0,1,0
65,AutoFieldMeta,Parameters,stored in the database.,1,0,0
65,AutoFieldMeta,Summary,stored in the database.,0,0,0
65,AutoFieldMeta,Usage,stored in the database.,1,0,0
66,AutoFieldMeta,DevelopmentNotes,in many areas django also relies on using isinstance to check for an,1,0,0
66,AutoFieldMeta,Expand,in many areas django also relies on using isinstance to check for an,0,0,0
66,AutoFieldMeta,Parameters,in many areas django also relies on using isinstance to check for an,0,0,0
66,AutoFieldMeta,Summary,in many areas django also relies on using isinstance to check for an,1,0,0
66,AutoFieldMeta,Usage,in many areas django also relies on using isinstance to check for an,1,1,0
67,AutoFieldMeta,DevelopmentNotes,automatically generated field as a subclass of autofield.,0,0,0
67,AutoFieldMeta,Expand,automatically generated field as a subclass of autofield.,1,0,0
67,AutoFieldMeta,Parameters,automatically generated field as a subclass of autofield.,1,0,0
67,AutoFieldMeta,Summary,automatically generated field as a subclass of autofield.,0,0,0
67,AutoFieldMeta,Usage,automatically generated field as a subclass of autofield.,0,1,0
68,AutoFieldMeta,DevelopmentNotes,a new flag needs,1,0,0
68,AutoFieldMeta,Expand,a new flag needs,0,0,0
68,AutoFieldMeta,Parameters,a new flag needs,0,0,0
68,AutoFieldMeta,Summary,a new flag needs,1,0,0
68,AutoFieldMeta,Usage,a new flag needs,1,1,0
69,AutoFieldMeta,DevelopmentNotes,to be implemented on field to be used instead.,0,0,0
69,AutoFieldMeta,Expand,to be implemented on field to be used instead.,1,0,0
69,AutoFieldMeta,Parameters,to be implemented on field to be used instead.,1,0,0
69,AutoFieldMeta,Summary,to be implemented on field to be used instead.,0,0,0
69,AutoFieldMeta,Usage,to be implemented on field to be used instead.,0,1,0
70,AutoFieldMeta,DevelopmentNotes,"when these issues have been addressed, this metaclass could be used to",0,1,0
70,AutoFieldMeta,Expand,"when these issues have been addressed, this metaclass could be used to",0,0,0
70,AutoFieldMeta,Parameters,"when these issues have been addressed, this metaclass could be used to",0,0,0
70,AutoFieldMeta,Summary,"when these issues have been addressed, this metaclass could be used to",1,0,0
70,AutoFieldMeta,Usage,"when these issues have been addressed, this metaclass could be used to",0,0,0
71,AutoFieldMeta,DevelopmentNotes,deprecate inheritance from autofield and use of isinstance with autofield,1,1,0
71,AutoFieldMeta,Expand,deprecate inheritance from autofield and use of isinstance with autofield,0,0,0
71,AutoFieldMeta,Parameters,deprecate inheritance from autofield and use of isinstance with autofield,0,0,0
71,AutoFieldMeta,Summary,deprecate inheritance from autofield and use of isinstance with autofield,0,0,0
71,AutoFieldMeta,Usage,deprecate inheritance from autofield and use of isinstance with autofield,0,0,0
72,AutoFieldMeta,DevelopmentNotes,for detecting automatically generated fields.,0,1,0
72,AutoFieldMeta,Expand,for detecting automatically generated fields.,0,0,0
72,AutoFieldMeta,Parameters,for detecting automatically generated fields.,0,0,0
72,AutoFieldMeta,Summary,for detecting automatically generated fields.,1,0,0
72,AutoFieldMeta,Usage,for detecting automatically generated fields.,0,0,0
84,BadSignature,DevelopmentNotes,signature does not match.,1,0,0
84,BadSignature,Expand,signature does not match.,1,0,0
84,BadSignature,Parameters,signature does not match.,1,0,0
84,BadSignature,Summary,signature does not match.,1,1,0
84,BadSignature,Usage,signature does not match.,1,0,0
86,BarAccount,DevelopmentNotes,a service specific account of type bar.,0,0,0
86,BarAccount,Expand,a service specific account of type bar.,0,0,0
86,BarAccount,Parameters,a service specific account of type bar.,0,0,0
86,BarAccount,Summary,a service specific account of type bar.,0,1,0
86,BarAccount,Usage,a service specific account of type bar.,0,0,0
88,BaseCommand,DevelopmentNotes,the base class from which all management commands ultimately,1,0,0
88,BaseCommand,Expand,the base class from which all management commands ultimately,1,0,0
88,BaseCommand,Parameters,the base class from which all management commands ultimately,1,0,0
88,BaseCommand,Summary,the base class from which all management commands ultimately,0,1,0
88,BaseCommand,Usage,the base class from which all management commands ultimately,1,0,0
89,BaseCommand,DevelopmentNotes,derive.,1,0,0
89,BaseCommand,Expand,derive.,1,0,0
89,BaseCommand,Parameters,derive.,1,0,0
89,BaseCommand,Summary,derive.,0,1,0
89,BaseCommand,Usage,derive.,0,0,0
90,BaseCommand,DevelopmentNotes,use this class if you want access to all of the mechanisms which,0,1,0
90,BaseCommand,Expand,use this class if you want access to all of the mechanisms which,1,0,0
90,BaseCommand,Parameters,use this class if you want access to all of the mechanisms which,1,0,0
90,BaseCommand,Summary,use this class if you want access to all of the mechanisms which,0,0,0
90,BaseCommand,Usage,use this class if you want access to all of the mechanisms which,1,0,0
91,BaseCommand,DevelopmentNotes,parse the command line arguments and work out what code to call in,0,1,0
91,BaseCommand,Expand,parse the command line arguments and work out what code to call in,1,0,0
91,BaseCommand,Parameters,parse the command line arguments and work out what code to call in,1,0,0
91,BaseCommand,Summary,parse the command line arguments and work out what code to call in,0,0,0
91,BaseCommand,Usage,parse the command line arguments and work out what code to call in,0,0,0
92,BaseCommand,DevelopmentNotes,"response if you don t need to change any of that behavior,",0,1,0
92,BaseCommand,Expand,"response if you don t need to change any of that behavior,",1,0,0
92,BaseCommand,Parameters,"response if you don t need to change any of that behavior,",1,0,0
92,BaseCommand,Summary,"response if you don t need to change any of that behavior,",0,0,0
92,BaseCommand,Usage,"response if you don t need to change any of that behavior,",1,0,0
93,BaseCommand,DevelopmentNotes,consider using one of the subclasses defined in this file.,0,1,0
93,BaseCommand,Expand,consider using one of the subclasses defined in this file.,0,0,0
93,BaseCommand,Parameters,consider using one of the subclasses defined in this file.,0,0,0
93,BaseCommand,Summary,consider using one of the subclasses defined in this file.,1,0,0
93,BaseCommand,Usage,consider using one of the subclasses defined in this file.,0,0,0
94,BaseCommand,DevelopmentNotes,if you are interested in overriding customizing various aspects of,0,0,0
94,BaseCommand,Expand,if you are interested in overriding customizing various aspects of,0,0,0
94,BaseCommand,Parameters,if you are interested in overriding customizing various aspects of,0,0,0
94,BaseCommand,Summary,if you are interested in overriding customizing various aspects of,1,0,0
94,BaseCommand,Usage,if you are interested in overriding customizing various aspects of,1,1,0
95,BaseCommand,DevelopmentNotes,"the command parsing and execution behavior, the normal flow works",1,0,0
95,BaseCommand,Expand,"the command parsing and execution behavior, the normal flow works",1,0,0
95,BaseCommand,Parameters,"the command parsing and execution behavior, the normal flow works",1,0,0
95,BaseCommand,Summary,"the command parsing and execution behavior, the normal flow works",0,0,0
95,BaseCommand,Usage,"the command parsing and execution behavior, the normal flow works",0,1,0
96,BaseCommand,DevelopmentNotes,as follows,0,0,0
96,BaseCommand,Expand,as follows,0,0,0
96,BaseCommand,Parameters,as follows,0,0,0
96,BaseCommand,Summary,as follows,1,0,0
96,BaseCommand,Usage,as follows,1,1,0
97,BaseCommand,DevelopmentNotes,1,0,0,0
97,BaseCommand,Expand,1,0,0,0
97,BaseCommand,Parameters,1,0,0,0
97,BaseCommand,Summary,1,1,0,0
97,BaseCommand,Usage,1,1,1,0
98,BaseCommand,DevelopmentNotes,django admin or manage^py loads the command class,0,0,0
98,BaseCommand,Expand,django admin or manage^py loads the command class,0,0,0
98,BaseCommand,Parameters,django admin or manage^py loads the command class,0,0,0
98,BaseCommand,Summary,django admin or manage^py loads the command class,1,0,0
98,BaseCommand,Usage,django admin or manage^py loads the command class,0,1,0
99,BaseCommand,DevelopmentNotes,and calls its run from argv method.,0,0,0
99,BaseCommand,Expand,and calls its run from argv method.,0,0,0
99,BaseCommand,Parameters,and calls its run from argv method.,0,0,0
99,BaseCommand,Summary,and calls its run from argv method.,1,0,0
99,BaseCommand,Usage,and calls its run from argv method.,0,1,0
100,BaseCommand,DevelopmentNotes,2,1,0,0
100,BaseCommand,Expand,2,1,0,0
100,BaseCommand,Parameters,2,0,0,0
100,BaseCommand,Summary,2,1,0,0
100,BaseCommand,Usage,2,0,1,0
101,BaseCommand,DevelopmentNotes,the run from argv method calls create parser to get,0,0,0
101,BaseCommand,Expand,the run from argv method calls create parser to get,0,0,0
101,BaseCommand,Parameters,the run from argv method calls create parser to get,0,0,0
101,BaseCommand,Summary,the run from argv method calls create parser to get,1,0,0
101,BaseCommand,Usage,the run from argv method calls create parser to get,0,1,0
102,BaseCommand,DevelopmentNotes,"an argumentparser for the arguments, parses them, performs",1,0,0
102,BaseCommand,Expand,"an argumentparser for the arguments, parses them, performs",1,0,0
102,BaseCommand,Parameters,"an argumentparser for the arguments, parses them, performs",0,0,0
102,BaseCommand,Summary,"an argumentparser for the arguments, parses them, performs",1,0,0
102,BaseCommand,Usage,"an argumentparser for the arguments, parses them, performs",0,1,0
103,BaseCommand,DevelopmentNotes,any environment changes requested by options like,0,0,0
103,BaseCommand,Expand,any environment changes requested by options like,0,0,0
103,BaseCommand,Parameters,any environment changes requested by options like,1,0,0
103,BaseCommand,Summary,any environment changes requested by options like,0,0,0
103,BaseCommand,Usage,any environment changes requested by options like,0,1,0
104,BaseCommand,DevelopmentNotes,"pythonpath , and then calls the execute method,",1,0,0
104,BaseCommand,Expand,"pythonpath , and then calls the execute method,",1,0,0
104,BaseCommand,Parameters,"pythonpath , and then calls the execute method,",0,0,0
104,BaseCommand,Summary,"pythonpath , and then calls the execute method,",1,0,0
104,BaseCommand,Usage,"pythonpath , and then calls the execute method,",0,1,0
105,BaseCommand,DevelopmentNotes,passing the parsed arguments.,0,0,0
105,BaseCommand,Expand,passing the parsed arguments.,0,0,0
105,BaseCommand,Parameters,passing the parsed arguments.,1,0,0
105,BaseCommand,Summary,passing the parsed arguments.,0,0,0
105,BaseCommand,Usage,passing the parsed arguments.,0,1,0
106,BaseCommand,DevelopmentNotes,3,1,0,0
106,BaseCommand,Expand,3,1,0,0
106,BaseCommand,Parameters,3,0,0,0
106,BaseCommand,Summary,3,1,0,0
106,BaseCommand,Usage,3,0,1,0
107,BaseCommand,DevelopmentNotes,the execute method attempts to carry out the command by,0,0,0
107,BaseCommand,Expand,the execute method attempts to carry out the command by,0,0,0
107,BaseCommand,Parameters,the execute method attempts to carry out the command by,1,0,0
107,BaseCommand,Summary,the execute method attempts to carry out the command by,0,0,0
107,BaseCommand,Usage,the execute method attempts to carry out the command by,0,1,0
108,BaseCommand,DevelopmentNotes,calling the handle method with the parsed arguments any,1,0,0
108,BaseCommand,Expand,calling the handle method with the parsed arguments any,1,0,0
108,BaseCommand,Parameters,calling the handle method with the parsed arguments any,0,0,0
108,BaseCommand,Summary,calling the handle method with the parsed arguments any,1,0,0
108,BaseCommand,Usage,calling the handle method with the parsed arguments any,0,1,0
109,BaseCommand,DevelopmentNotes,output produced by handle will be printed to standard,0,0,0
109,BaseCommand,Expand,output produced by handle will be printed to standard,0,0,0
109,BaseCommand,Parameters,output produced by handle will be printed to standard,1,0,0
109,BaseCommand,Summary,output produced by handle will be printed to standard,0,0,0
109,BaseCommand,Usage,output produced by handle will be printed to standard,0,1,0
110,BaseCommand,DevelopmentNotes,"output and, if the command is intended to produce a block of",1,0,0
110,BaseCommand,Expand,"output and, if the command is intended to produce a block of",1,0,0
110,BaseCommand,Parameters,"output and, if the command is intended to produce a block of",0,0,0
110,BaseCommand,Summary,"output and, if the command is intended to produce a block of",1,0,0
110,BaseCommand,Usage,"output and, if the command is intended to produce a block of",0,1,0
111,BaseCommand,DevelopmentNotes,"sql statements, will be wrapped in begin and commit .",0,0,0
111,BaseCommand,Expand,"sql statements, will be wrapped in begin and commit .",0,0,0
111,BaseCommand,Parameters,"sql statements, will be wrapped in begin and commit .",1,0,0
111,BaseCommand,Summary,"sql statements, will be wrapped in begin and commit .",0,0,0
111,BaseCommand,Usage,"sql statements, will be wrapped in begin and commit .",0,1,0
112,BaseCommand,DevelopmentNotes,4,1,0,0
112,BaseCommand,Expand,4,1,0,0
112,BaseCommand,Parameters,4,0,0,0
112,BaseCommand,Summary,4,1,0,0
112,BaseCommand,Usage,4,0,1,0
113,BaseCommand,DevelopmentNotes,if handle or execute raised any exception eg,0,0,0
113,BaseCommand,Expand,if handle or execute raised any exception eg,0,0,0
113,BaseCommand,Parameters,if handle or execute raised any exception eg,1,0,0
113,BaseCommand,Summary,if handle or execute raised any exception eg,0,0,0
113,BaseCommand,Usage,if handle or execute raised any exception eg,0,1,0
114,BaseCommand,DevelopmentNotes,"commanderror , run from argv will instead print an error",1,0,0
114,BaseCommand,Expand,"commanderror , run from argv will instead print an error",1,0,0
114,BaseCommand,Parameters,"commanderror , run from argv will instead print an error",0,0,0
114,BaseCommand,Summary,"commanderror , run from argv will instead print an error",1,0,0
114,BaseCommand,Usage,"commanderror , run from argv will instead print an error",0,1,0
115,BaseCommand,DevelopmentNotes,message to stderr .,0,0,0
115,BaseCommand,Expand,message to stderr .,0,0,0
115,BaseCommand,Parameters,message to stderr .,1,0,0
115,BaseCommand,Summary,message to stderr .,0,0,0
115,BaseCommand,Usage,message to stderr .,0,1,0
116,BaseCommand,DevelopmentNotes,"thus, the handle method is typically the starting point for",0,1,0
116,BaseCommand,Expand,"thus, the handle method is typically the starting point for",1,0,0
116,BaseCommand,Parameters,"thus, the handle method is typically the starting point for",0,0,0
116,BaseCommand,Summary,"thus, the handle method is typically the starting point for",1,0,0
116,BaseCommand,Usage,"thus, the handle method is typically the starting point for",0,0,0
117,BaseCommand,DevelopmentNotes,subclasses many built in commands and command types either place,0,1,0
117,BaseCommand,Expand,subclasses many built in commands and command types either place,0,0,0
117,BaseCommand,Parameters,subclasses many built in commands and command types either place,1,0,0
117,BaseCommand,Summary,subclasses many built in commands and command types either place,0,0,0
117,BaseCommand,Usage,subclasses many built in commands and command types either place,1,0,0
118,BaseCommand,DevelopmentNotes,"all of their logic in handle , or perform some additional",0,1,0
118,BaseCommand,Expand,"all of their logic in handle , or perform some additional",1,0,0
118,BaseCommand,Parameters,"all of their logic in handle , or perform some additional",0,0,0
118,BaseCommand,Summary,"all of their logic in handle , or perform some additional",1,0,0
118,BaseCommand,Usage,"all of their logic in handle , or perform some additional",0,0,0
119,BaseCommand,DevelopmentNotes,parsing work in handle and then delegate from it to more,0,1,0
119,BaseCommand,Expand,parsing work in handle and then delegate from it to more,0,0,0
119,BaseCommand,Parameters,parsing work in handle and then delegate from it to more,1,0,0
119,BaseCommand,Summary,parsing work in handle and then delegate from it to more,0,0,0
119,BaseCommand,Usage,parsing work in handle and then delegate from it to more,1,0,0
120,BaseCommand,DevelopmentNotes,specialized methods as needed.,0,1,0
120,BaseCommand,Expand,specialized methods as needed.,1,0,0
120,BaseCommand,Parameters,specialized methods as needed.,0,0,0
120,BaseCommand,Summary,specialized methods as needed.,1,0,0
120,BaseCommand,Usage,specialized methods as needed.,0,0,0
121,BaseCommand,DevelopmentNotes,several attributes affect behavior at various steps along the way,1,0,0
121,BaseCommand,Expand,several attributes affect behavior at various steps along the way,0,0,0
121,BaseCommand,Parameters,several attributes affect behavior at various steps along the way,0,1,0
121,BaseCommand,Summary,several attributes affect behavior at various steps along the way,0,0,0
121,BaseCommand,Usage,several attributes affect behavior at various steps along the way,1,0,0
122,BaseCommand,DevelopmentNotes,help,1,0,0
122,BaseCommand,Expand,help,0,0,0
122,BaseCommand,Parameters,help,0,1,0
122,BaseCommand,Summary,help,1,0,0
122,BaseCommand,Usage,help,1,0,0
123,BaseCommand,DevelopmentNotes,"a short description of the command, which will be printed in",1,0,0
123,BaseCommand,Expand,"a short description of the command, which will be printed in",1,0,0
123,BaseCommand,Parameters,"a short description of the command, which will be printed in",0,1,0
123,BaseCommand,Summary,"a short description of the command, which will be printed in",1,0,0
123,BaseCommand,Usage,"a short description of the command, which will be printed in",1,0,0
125,BaseCommand,DevelopmentNotes,output transaction,0,0,0
125,BaseCommand,Expand,output transaction,0,0,0
125,BaseCommand,Parameters,output transaction,0,1,0
125,BaseCommand,Summary,output transaction,0,0,0
125,BaseCommand,Usage,output transaction,0,0,0
126,BaseCommand,DevelopmentNotes,a boolean indicating whether the command outputs sql,0,0,0
126,BaseCommand,Expand,a boolean indicating whether the command outputs sql,1,0,0
126,BaseCommand,Parameters,a boolean indicating whether the command outputs sql,0,1,0
126,BaseCommand,Summary,a boolean indicating whether the command outputs sql,0,0,0
126,BaseCommand,Usage,a boolean indicating whether the command outputs sql,0,0,0
127,BaseCommand,DevelopmentNotes,"statements if true , the output will automatically be",0,0,0
127,BaseCommand,Expand,"statements if true , the output will automatically be",0,0,0
127,BaseCommand,Parameters,"statements if true , the output will automatically be",0,1,0
127,BaseCommand,Summary,"statements if true , the output will automatically be",0,0,0
127,BaseCommand,Usage,"statements if true , the output will automatically be",0,0,0
128,BaseCommand,DevelopmentNotes,wrapped with begin and commit .,0,0,0
128,BaseCommand,Expand,wrapped with begin and commit .,1,0,0
