comment_sentence_id,class,category,category_encoded,partition,processed_text
7,AppConfigStub,Summary,3,1,stub appconfig provides label dict model
11,Archive,DevelopmentNotes,0,1,external api class encapsulates archive implementation
11,Archive,Summary,3,1,external api class encapsulates archive implementation
14,ArchiveIndexView,Summary,3,1,top level archive date based item
2408,Argument,Summary,3,0,argument positional parameter command generally provide fewer feature option infinite nargs required default parameter passed onwards parameter constructor
16,Atomic,Summary,3,1,guarantee atomic execution given block used decorator call wrap execution decorated function instance used context manager used context manager enter creates transaction savepoint depending whether transaction already progress exit commits transaction release savepoint normal exit roll back transaction savepoint exception possible disable creation savepoints goal ensure code run within transaction without creating overhead stack savepoints identifier maintained attribute connection none denotes absence savepoint allows reentrancy even atomicwrapper reused
50,AtomicTests,Summary,3,1,test atomic decorator context manager test make assertion internal attribute robust way ask database current transaction state since decorator syntax converted context manager see implementation basic test decorator syntax bulk test use context manager syntax
912,Audio,Summary,3,1,create audio object object returned input cell passed display function result audio control displayed frontend work notebook parameter data numpy array list unicode str byte one numpy 1d array containing desired waveform mono numpy 2d array containing waveform channel shape nchan nsamples standard channel order see http msdn microsoft com en u library window hardware dn653308 v v 85 aspx list float integer representing waveform mono string containing filename bytestring containing raw pcm data url pointing file web array option used waveform normalized filename url used format support browser dependent url unicode url download data filename unicode path local file load data embed boolean audio data embedded using data uri true original source referenced set true want audio playable later internet connection notebook default true unless keyword argument url set default value false rate integer sampling rate raw data required data parameter used array autoplay bool set true audio immediately start playing default false normalize bool whether audio normalized rescaled maximum possible range default true set false data must 1 1 inclusive otherwise error raised applies data list array sample type audio never normalized example generate sound import numpy np framerate 44100 np linspace 0 5 framerate 5 data np sin 2 np pi 220 np sin 2 np pi 224 audio data rate framerate also stereo channel dataleft np sin 2 np pi 220 dataright np sin 2 np pi 224 audio dataleft dataright rate framerate audio http www nch com au acm 8k16bitpcm wav url audio url http www w3schools com html horse ogg audio path sound wav file audio filename path sound ogg audio b raw wav data byte audio data b raw wav data
5929,AuthBase,Summary,3,0,base class auth implementation derive
62,AutoFieldMeta,Summary,3,1,metaclass maintain backward inheritance compatibility autofield intended autofieldmixin become public api possible create non integer automatically generated field using column default stored database many area django also relies using isinstance check automatically generated field subclass autofield new flag need implemented field used instead issue addressed metaclass could used deprecate inheritance autofield use isinstance autofield detecting automatically generated field
1265,AutoTlsConnBroker,Summary,3,0,broker try auto upgrade connection use tl least ssl handshake record info
1263,AutocryptSearch,Summary,3,0,search autocrypt database
4460,BCEWithLogitsLoss,Summary,3,0,loss combine sigmoid layer bceloss one single class version numerically stable using plain sigmoid followed bceloss combining operation one layer take advantage log sum exp trick numerical stability unreduced ie attr reduction set none loss described math ell x l l 1 dot l n top quad l n w n left n cdot log sigma x n 1 n cdot log 1 sigma x n right math n batch size attr reduction none default mean math ell x begin case operatorname mean l text reduction text mean operatorname sum l text reduction text sum end case used measuring error reconstruction example auto encoder note target number 0 1 possible trade recall precision adding weight positive example case multi label classification loss described math ell c x l c l 1 c dot l n c top quad l n c w n c left p c n c cdot log sigma x n c 1 n c cdot log 1 sigma x n c right example dataset contains 100 positive 300 negative example single class po weight class equal math frac 300 100 3 loss would act dataset contains math 3 time 100 300 positive example example target torch one 10 64 dtype torch float32 64 class batch size 10 output torch full 10 64 0999 prediction logit po weight torch one 64 weight equal 1 criterion torch nn bcewithlogitsloss po weight po weight criterion output target log sigmoid 0999 tensor 03135 args weight tensor optional manual rescaling weight given loss batch element given tensor size nbatch size average bool optional deprecated see attr reduction default loss averaged loss element batch note loss multiple element per sample field attr size average set false loss instead summed minibatch ignored reduce false default true reduce bool optional deprecated see attr reduction loss averaged summed observation minibatch depending attr size average attr reduce false return loss per batch element instead ignores attr size average default true reduction string optional specifies reduction apply output none mean sum none reduction applied mean sum output divided number element output sum output summed note attr size average attr reduce process deprecated meantime default mean po weight tensor optional weight positive example must vector length equal number class shape input math n math mean number additional dimension target math n shape input output scalar attr reduction none math n example loss nn bcewithlogitsloss input torch randn 3 requires grad true target torch empty 3 random 2 output loss input target output backward
218,BCryptSHA256PasswordHasher,Summary,3,0,secure password hashing using bcrypt algorithm recommended considered many secure algorithm must first install bcrypt library
1642,BYearBegin,Summary,3,0,dateoffset increment business year begin date
84,BadSignature,Summary,3,1,signature match
86,BarAccount,Summary,3,0,service specific account type bar
1560,Base,Summary,3,0,common test variation intervalindex construction input data supplied break format converted subclass method get kwargs break expected format
88,BaseCommand,Summary,3,0,base class management command ultimately derive use class want access mechanism parse command line argument work code call response need change behavior consider using one subclass defined file interested overriding customizing various aspect command parsing execution behavior normal flow work follows 1 django admin manage py load command class call run argv method 2 run argv method call create parser get argumentparser argument parses performs environment change requested option like pythonpath call execute method passing parsed argument 3 execute method attempt carry command calling handle method parsed argument output produced handle printed standard output command intended produce block sql statement wrapped begin commit 4 handle execute raised exception eg commanderror run argv instead print error message stderr thus handle method typically starting point subclass many built command command type either place logic handle perform additional parsing work handle delegate specialized method needed several attribute affect behavior various step along way help short description command printed output transaction boolean indicating whether command output sql statement true output automatically wrapped begin commit default value false requires migration check boolean true command print warning set migration disk match migration database requires system check boolean true entire django project checked error prior executing command validate individual application model rather application model call self check app configs handle app configs list application configuration provided app registry
2418,BaseCommand_,Summary,3,1,cli command
201,BaseDatabaseSchemaEditor,DevelopmentNotes,0,0,class subclass responsible emitting schema changing statement database model creation removal alteration field renaming index fiddling
201,BaseDatabaseSchemaEditor,Summary,3,0,class subclass responsible emitting schema changing statement database model creation removal alteration field renaming index fiddling
210,BaseExpression,Summary,3,0,base class query expression
1569,BaseInterfaceTests,Summary,3,1,test basic interface satisfied interface
4344,BaseTestCase,Summary,3,0,base class used tensorboard test
212,BaseUpdateView,Summary,3,0,base view updating existing object using base class requires subclassing provide response mixin
216,BaseYearArchiveView,Summary,3,0,list object published given year
4346,BatchNorm1d,Summary,3,0,applies batch normalization 2d 3d input mini batch 1d input optional additional channel dimension described paper batch normalization accelerating deep network training reducing internal covariate shift math mean standard deviation calculated per dimension size c c input size also default training layer keep running estimate computed mean variance used normalization evaluation running estimate kept default attr momentum 01 attr track running stats set false layer keep running estimate batch statistic instead used evaluation time well note attr momentum argument different one used optimizer class conventional notion momentum mathematically update rule running statistic math hat x text new 1 text momentum time hat x text momentum time x math hat x estimated statistic math x new observed value batch normalization done c dimension computing statistic n l slice common terminology call temporal batch normalization args num feature math c expected input size math n c l math l input size math n l eps value added denominator numerical stability default 1e 5 momentum value used running mean running var computation set none cumulative moving average ie simple average default 01 affine boolean value set true module learnable affine parameter default true track running stats boolean value set true module track running mean variance set false module track statistic always us batch statistic training eval mode default true shape input math n c math n c l output math n c math n c l shape input example learnable parameter nn batchnorm1d 100 without learnable parameter input torch randn 20 100 output input
1573,BooleanArray,Summary,3,0,array boolean true false data missing value panda extension array boolean data hood represented 2 numpy array boolean array data boolean array mask true indicating missing booleanarray implement kleene logic sometimes called three value logic logical operation see ref boolean kleene construct booleanarray generic array like input use func panda array specifying dtype boolean see example booleanarray considered experimental parameter value numpy ndarray 1 boolean dtype array data mask numpy ndarray 1 boolean dtype array indicating missing value true indicates missing copy bool default false whether copy value mask array attribute none method none return booleanarray example create booleanarray func panda array pd array true false none dtype boolean booleanarray true false na length 3 dtype boolean
227,BoundWidget,Summary,3,0,container class used iterating widget useful widget choice example following used template radio myform beatles label radio id label radio choice label span class radio radio tag span label endfor
2420,BrokenStdoutLoggingError,Summary,3,0,raised brokenpipeerror occurs stdout stream logging
2422,Bucket,Summary,3,0,bucket used store bytecode one template created initialized bytecode cache passed loading function bucket get internal checksum cache assigned use automatically reject outdated cache material
4638,BuildType,Summary,3,1,check build type build type given attr cmake build type env attr cmake build type env none build type inferred cmakecache txt cmakecache txt exist o environ cmake build type used argument cmake build type env str value o environ cmake build type
1638,BusinessHour,Summary,3,0,dateoffset subclass representing possibly n business hour
1640,BusinessMixin,Summary,3,0,mixin business type provide related function
2495,CONSOLE_SCREEN_BUFFER_INFO,Summary,3,0,struct wincon h
249,CacheHandler,Summary,3,0,cache handler manage access cache instance ensure one instance alias exists per thread
4657,Caffe2OperatorTestCase,Summary,3,0,class includes information needed benchmark operator op bench user defined class child caffe2benchmarkbase includes input operator etc test config namedtuple includes test name input shape tag run backward run backward false run forward method executed otherwise run backward method executed
2434,CallBlock,DevelopmentNotes,0,0,like macro without name call instead call called unnamed macro caller argument node hold
1044,CapturingDisplayPublisher,Summary,3,1,displaypublisher store
2440,CaseInsensitiveDict,Summary,3,0,case insensitive dict like object implement method operation mutablemapping well dict copy also provides lower item key expected string structure remembers case last key set iter instance key item iterkeys iteritems contain case sensitive key however querying contains testing case insensitive cid caseinsensitivedict cid accept application json list cid accept true example header content encoding return value content encoding response header regardless header name originally stored constructor update equality comparison operation given key equal lower behavior undefined
1644,CategoricalDtype,Expand,1,1,type categorical data category orderedness parameter category sequence optional must unique must contain null ordered bool none default false whether categorical treated ordered categorical none used maintain ordered value existing categoricals used operation combine categoricals eg astype resolve false existing ordered maintain attribute category ordered method none note class useful specifying type categorical independent value see ref categorical categoricaldtype example pd categoricaldtype category b ordered true pd series b c dtype 12 00 1 b 2 00 3 nan dtype category category 2 object b
1644,CategoricalDtype,Summary,3,0,type categorical data category orderedness parameter category sequence optional must unique must contain null ordered bool none default false whether categorical treated ordered categorical none used maintain ordered value existing categoricals used operation combine categoricals eg astype resolve false existing ordered maintain attribute category ordered method none note class useful specifying type categorical independent value see ref categorical categoricaldtype example pd categoricaldtype category b ordered true pd series b c dtype 12 00 1 b 2 00 3 nan dtype category category 2 object b
1703,CategoricalIndex,Summary,3,0,index based underlying class categorical categoricalindex like categorical take limited also like categorical might order numerical operation addition division possible parameter data array like 1 dimensional value categorical category given value category replaced nan category index like optional category categorical item need unique category given also dtype inferred data ordered bool optional whether categorical treated ordered categorical given dtype resulting categorical unordered dtype categoricaldtype category optional class categoricaldtype cannot used together category ordered versionadded 021 0 copy bool default false make copy input ndarray name object optional name stored index attribute code category ordered method remove unused category set category ordered unordered map category validate explicit ordered true given category note see user guide http panda pydata org panda doc stable user guide advanced html categoricalindex example pd categoricalindex b c b c categoricalindex b c b c category b c ordered false dtype category noqa categoricalindex also instantiated categorical c pd categorical b c b c pd categoricalindex c categoricalindex b c b c category b c ordered false dtype category noqa ordered categoricalindex min max value ci pd categoricalindex b c b c ordered true category c b ci categoricalindex b c b c category c b ordered true dtype category noqa c
1046,CellMagicRole,Summary,3,0,cross reference role displayed prefix
253,Choices,Parameters,2,0,class creating enumerated choice
253,Choices,Summary,3,0,class creating enumerated choice
256,ChunkIter,Summary,3,0,iterable yield chunk data given file like object constructor yield chunk read operation object
262,Client,Summary,3,0,class act client testing purpose allows user compose get post request obtain response server gave request server response object annotated detail context template rendered process serving request client object stateful retain cookie thus session detail lifetime client instance intended replacement twill selenium like allow testing context template produced view rather html rendered end user
2489,ColoredString,Summary,3,0,enhanced string len operation colored output
286,Combinable,Summary,3,0,provide ability combine one two object connector example f foo f bar
2491,CommandError,Summary,3,0,raised error command line argument
1269,ConfigDict,Summary,3,0,sanity checking self documenting dictionary program setting object must initialized dictionary describes structured way variable exist legal value default variable definition expects three value 1 human readable description variable 2 data type sanity check 3 default value sanity check dictionary rule value expected dictionary list item match rule defined used empty list dictionary default value configuration data nested including dictionary rule place default value default value empty list assumed list value type specified example pot configdict rule potato many potato int 0 carrot many carrot int 99 liquid fluid like false water liter int 0 vodka liter int 12 tag tag c c int 0 x x str color color red blue sorted pot key sorted pot value color liquid tag pot potato pot liquid vodka 123 pot potato 123 pot liquid vodka 123 pot carrot 99 pot walk liquid vodka 123 pot walk liquid vodka parent true vodka pot color append red 0 pot color extend blue red red pot color red blue red red 0 pot tag 0 c 123 pot tag append z invalid traceback recent call last valueerror invalid value config tag 1 traceback recent call last invalidkeyerror invalid key config evil traceback recent call last invalidkeyerror invalid key config liquid evil traceback recent call last valueerror invalid value config potato moo traceback recent call last configvalueerror invalid value config color 4 green pot rule potato many potato type int 0 isinstance pot liquid configdict true
1424,ConfigureMailboxes,Summary,3,0,add one mailbox account specified mailbox assigned id use metadata index account specified mailbox assigned account configured automatic indexing
1434,ConnectToGuiOMatic,Summary,3,0,connect waiting gui matic gui
2493,ConnectionError,Summary,3,0,connection error occurred
292,ConsoleDirective,Summary,3,1,restructuredtext directive render two tab code block second tab show window command line equivalent usual unix oriented example
4669,ConstantPad3d,Summary,3,0,pad input tensor boundary constant value n dimensional padding use func torch nn functional pad args padding int tuple size padding int us padding boundary 6 tuple us math text padding left math text padding right math text padding top math text padding bottom math text padding front math text padding back example nn constantpad3d 3 35 input torch randn 16 3 10 20 30 output input using different padding different side nn constantpad3d 3 3 6 6 0 1 35 output input
1436,ContactSet,Summary,3,0,set contact line ensuring contact exists
298,Context,Summary,3,1,stack container variable context
2497,Context_,Summary,3,0,template context hold variable template creating instance neither supported useful created automatically various stage template evaluation created hand context immutable modification attr parent must happen modification attr var allowed generated template code template filter global function marked func contextfunction get active context passed first argument allowed access context read template context support read dict operation get key value item iterkeys itervalues iteritems getitem contains additionally meth resolve method fail keyerror return class undefined object missing variable
4709,Conv3d,Summary,3,0,applies 3d convolution input signal composed several input plane simplest case output value layer input size math n c h w output math n c h w precisely described math n c j bias c j sum k 0 c 1 weight c j k star input n k attr stride control stride cross correlation attr padding control amount implicit zero padding side attr padding number point dimension attr dilation control spacing kernel point also known trous algorithm harder describe link nice visualization attr dilation attr group control connection input output attr channel attr channel must divisible attr group group 1 input convolved output group 2 operation becomes equivalent two conv layer side side seeing half input channel producing half output channel subsequently concatenated group attr channel input channel convolved set filter size math left lfloor frac channel channel right rfloor parameter attr kernel size attr stride attr padding attr dilation either single int case value used depth height width dimension tuple three ints case first int used depth dimension second int height dimension third int width dimension word input size math n c h w math channel c channel c time k args channel int number channel input image channel int number channel produced convolution kernel size int tuple size convolving kernel stride int tuple optional stride convolution default 1 padding int tuple optional zero padding added three side input default 0 padding mode string optional accepted value zero circular default zero dilation int tuple optional spacing kernel element default 1 group int optional number blocked connection input channel output channel default 1 bias bool optional true add learnable bias output default true input math n c h w output math n c h w math math math attribute weight tensor learnable weight module shape value weight sampled math k frac 1 c text prod 0 2 text kernel size bias tensor learnable bias module shape channel attr bias true value weight sampled math mathcal u sqrt k sqrt k math k frac 1 c text prod 0 2 text kernel size example square kernel equal stride nn conv3d 16 33 3 stride 2 non square kernel unequal stride padding nn conv3d 16 33 3 5 2 stride 2 1 1 padding 4 2 0 input torch randn 20 16 10 50 100 output input
4870,ConvReLU3d,Summary,3,0,convrelu3d module fused module conv3d relu adopt interface class torch nn quantized conv3d note attribute torch nn quantized conv3d
2540,ConvertingTuple,Summary,3,0,converting tuple wrapper
2542,CookieConflictError,Summary,3,0,two cooky meet criterion specified cookie jar use get set include domain path args order specific
300,CryptPasswordHasher,Summary,3,1,password hashing using unix crypt recommended crypt module supported platform
304,CustomArticleAdmin,Summary,3,0,test various hook using custom template context
306,CustomCacheKeyValidationTests,Summary,3,0,test ability mixin custom validate key method custom cache backend otherwise inherits builtin backend override default key validation
314,CustomHeaderRemoteUserTest,Parameters,2,0,test custom remoteusermiddleware subclass custom http auth user
314,CustomHeaderRemoteUserTest,Summary,3,0,test custom remoteusermiddleware subclass custom http auth user
4883,CyclicLR,Summary,3,1,set learning rate parameter group according cyclical learning rate policy clr policy cycle learning rate two boundary constant frequency detailed paper cyclical learning rate training neural network distance two boundary scaled per iteration per cycle basis cyclical learning rate policy change learning rate every batch triangular basic triangular cycle without amplitude scaling triangular2 basic triangular cycle scale initial amplitude half cycle exp range cycle scale initial amplitude math text gamma text cycle iteration cycle iteration example optimizer torch optim sgd model parameter lr 01 momentum 09 scheduler torch optim lr scheduler cycliclr optimizer base lr 001 max lr 01 data loader torch utils data dataloader epoch range 10 batch data loader train batch scheduler step
1838,CythonCommand,Summary,3,0,custom distutils command subclassed cython distutils build ext compile pyx c stop
1844,DataIndexableCol,Summary,3,0,represent data column indexed
2546,DataViewSequence,Summary,3,0,sequence data view entry instance item class
318,DatabaseReceiver,Summary,3,0,used test database argument signal 13552
2550,Date,Summary,3,0,date literal
321,DblFromGeom,Parameters,2,0,reference last argument
5005,DeQuantStub,Expand,1,0,dequantize stub module calibration identity swapped nnq dequantize convert
5005,DeQuantStub,Summary,3,1,dequantize stub module calibration identity swapped nnq dequantize convert
5011,DiagonalTensor,Summary,3,0,class torch function specific diagonal representation class limited utility mostly useful verifying dispatch mechanism work expected based diagonalarray example numpy documentation pytorch dispatch system happens via torch function diagonaltensor represents 2d tensor n row column diagonal entry set value entry set zero main functionality diagonaltensor provide compact
2555,DirectedGraph,Summary,3,0,graph structure directed edge
325,DisallowedModelAdminToField,Summary,3,0,invalid field passed admin view via url query string
1048,DisplayHook,Summary,3,0,custom ipython displayhook replace sys displayhook class many thing basic idea callable get called anytime user code return value
2557,Distribution,Summary,3,0,base class distribution whether installed index either way must metadata needed construction
327,DjangoHTMLTranslator,Summary,3,0,django specific rest html tweak
2563,DocumentErrorTree,Summary,3,1,implement dict like class query error index following
1054,DummyMod,Summary,3,0,dummy module used ipython interactive module namespace must assigned module dict
329,Dumpdata,Summary,3,1,test dumpdata management command
2806,EOF,Summary,3,0,usually mean child exited
331,EarliestOrLatestTests,Summary,3,0,test earliest latest object method
5053,EmbeddingBag,Summary,3,0,computes sum mean bag embeddings without instantiating intermediate embeddings bag constant length attr per sample weight class mode sum equivalent class torch nn embedding followed torch sum dim 0 mode mean equivalent class torch nn embedding followed torch mean dim 0 mode max equivalent class torch nn embedding followed torch max dim 0 however class torch nn embeddingbag much time memory efficient using chain operation embeddingbag also support per sample weight argument forward pas scale output embedding performing weighted reduction specified mode attr per sample weight passed supported mode sum computes weighted sum according attr per sample weight args num embeddings int size dictionary embeddings embedding dim int size embedding vector max norm float optional given embedding vector norm larger attr max norm renormalized norm attr max norm norm type float optional p p norm compute attr max norm option default 2 scale grad freq boolean optional given scale gradient inverse frequency word mini batch default false mode string optional sum mean max specifies way reduce bag sum computes weighted sum taking attr per sample weight consideration mean computes average value bag max computes max value bag default mean sparse bool optional true gradient w r attr weight matrix sparse tensor see note detail regarding sparse gradient note option supported mode max attribute weight tensor learnable weight module shape num embeddings embedding dim initialized math mathcal n 0 1 input attr input longtensor attr offset longtensor optional attr per index weight tensor optional attr input 2d shape b n treated b bag sequence fixed length n return b value aggregated way depending attr mode attr offset ignored required none case attr input 1d shape n treated concatenation multiple bag sequence attr offset required 1d tensor containing starting index position bag attr input therefore attr offset shape b attr input viewed b bag empty bag ie 0 length returned vector filled zero per sample weight tensor optional tensor float double weight none indicate weight taken 1 specified attr per sample weight must exactly shape input treated attr offset none supported mode sum example embedding module containing 10 tensor size 3 embedding sum nn embeddingbag 10 3 mode sum batch 2 sample 4 index input torch longtensor 1 2 4 5 4 3 2 9 offset torch longtensor 0 4 embedding sum input offset tensor 08861 54350 00523 11306 25798 10044
1438,EncryptedIntDict,Summary,3,0,encrypteddict deal signed 64 bit int value also add working key function
1442,EncryptedUnicodeDict,Summary,3,0,encrypteddict deal unicode value
5196,EnforceUnique,Summary,3,0,raise error key seen
2568,Environment,Expand,1,1,contains important shared variable like configuration filter test globals others instance class may modified shared template loaded far modification environment first template loaded lead surprising effect undefined behavior possible initialization parameter block start string string marking beginning block default block end string string marking end block default variable start string string marking beginning print statement default variable end string string marking end print statement default comment start string string marking beginning comment comment end string string marking end comment line statement prefix given string used prefix line based statement see also ref line statement line comment prefix given string used prefix line based comment see also ref line statement versionadded 22 trim block set true first newline block removed block variable tag lstrip block set true leading space tab stripped start line block newline sequence sequence start newline must one r n r n default n useful default linux o x system well web application keep trailing newline preserve trailing newline rendering template default false cause single newline present stripped end template versionadded 27 extension either import path string extension class information optimized optimizer enabled default true undefined finalize callable used process result variable expression output example one convert none implicitly empty string autoescape set true xml html autoescaping feature enabled default detail autoescaping see class jinja2 utils markup jinja 24 also callable passed template name versionchanged 24 loader cache size size cache per default 400 mean least recently used template 1 cache cleaned versionchanged 28 auto reload source may change ie file system database reload template higher performance possible disable bytecode cache cache internal jinja bytecode template enable async take advantage newer python feature requires python 36 later
5198,Error,Summary,3,0,error section output cuda memcheck error report error message backtrace
337,ErrorDict,Summary,3,0,collection error know display various format dictionary key field name value error
1444,Event,Summary,3,0,single event event log actual interpretation rendering event handled respective source class
1846,ExcelFile,Summary,3,0,class parsing tabular excel sheet dataframe object us xlrd see read excel documentation parameter io str path object pathlib path py path local localpath file like object xlrd workbook openpypl workbook string path object expected path xl xlsx odf file engine str default none io buffer path must set identify io acceptable value none xlrd openpyxl odf note odf read table opendocument formatted file
2808,ExceptionPexpect,Summary,3,0,base class exception raised module
341,ExceptionThatFailsUnpickling,Summary,3,0,pickling class fails unpickling error incorrect argument passed init
5209,ExceptionWrapper,Summary,3,0,wrap exception plus traceback communicate across thread
5211,ExternalInitializer,Usage,4,1,class used case parameter initialized initializer rather provided workspace param init net executed current version real sanity check parameter
2810,ExtractError,Summary,3,0,general exception extract error
2812,FakeFile,Summary,3,0,wrap list line object readline make
345,FakePayload,Summary,3,0,wrapper around bytesio restricts read since data network sought cannot read outside content length make sure view anything test client work real life
355,FallbackStorage,Expand,1,0,try store message first backend store unstored message subsequent backend
2824,FileMetadata,Expand,1,0,metadata handler standalone pkg info file usage metadata filemetadata path pkg info provider reject data metadata request except pkg info treated existing content file provided location metadata handler standalone pkg info file usage metadata filemetadata path pkg info provider reject data metadata request except pkg info treated existing content file provided location
2824,FileMetadata,Summary,3,1,metadata handler standalone pkg info file usage metadata filemetadata path pkg info provider reject data metadata request except pkg info treated existing content file provided location metadata handler standalone pkg info file usage metadata filemetadata path pkg info provider reject data metadata request except pkg info treated existing content file provided location
2848,FileSystemLoader,Summary,3,0,load template file system loader find template folder file system preferred way load loader take path template string multiple location wanted list looked given order loader filesystemloader path template per default template encoding utf 8 changed setting encoding parameter something else follow symbolic link set followlinks parameter true loader filesystemloader path template followlinks true
2873,Filter,Summary,3,1,alphabetizes attribute element
2875,Filter_,Summary,3,1,sanitizes token stream xhtml mathml svg inline style attribute
5219,FisherSnedecor,Summary,3,0,creates fisher snedecor distribution parameterized attr df1 attr df2 example fishersnedecor torch tensor 10 torch tensor 20 sample fisher snedecor distributed df1 1 df2 2 tensor 02453 args df1 float tensor degree freedom parameter 1 df2 float tensor degree freedom parameter 2
2877,FollowedBy,Summary,3,0,lookahead matching given parse expression followedby advance parsing position within input string verifies specified parse expression match current position followedby always return null token list result name defined lookahead expression returned access name example use followedby match label followed data word word alpha label data word followedby attr expr group label suppress oneormore data word stopon label setparseaction join oneormore attr expr parsestring shape square color black posn upper left pprint print shape square color black posn upper left
361,FootNote,DevelopmentNotes,0,0,model added ticket 19838
1450,Forward,Summary,3,0,create forwarding draft one message
363,FrenchTestCase,Summary,3,0,test using french translation sampleproject
371,GZipMiddleware,Summary,3,0,accept encoding header
1058,GeoJSON,Summary,3,0,geojson expects json able dict already serialized json string scalar type none number string allowed dict container
2927,Getattr,Usage,4,0,get attribute item expression ascii bytestring prefer attribute
367,Group,Summary,3,0,table column field
1452,Group_,Summary,3,0,view group
2999,HTMLParser,Summary,3,0,html parser generates tree structure stream possibly malformed html
3003,HTTPError,Summary,3,0,http error occurred
1454,HashCash,Summary,3,0,try collide hash using smtorp algorithm
2931,HashMissing,Summary,3,1,hash needed requirement absent
2936,HebrewProber,DevelopmentNotes,0,0,two sbcharsetprobers identify text fact kind hebrew logical visual score two sbcharsetprobers produce final answer reduces sequence character single space built hebrewprober using language model disjointed model probers result hebrewprober alone meaningless
1064,HelpEnd,Summary,3,0,transformer help syntax obj obj
374,HiddenRangeWidget,Summary,3,0,widget split input two input type hidden input
1068,HistoryAccessor,Summary,3,0,access history database without adding intended use standalone history tool ipython shell use historymanager subclass
1870,Holiday,Summary,3,0,class defines holiday start end date rule observance
1095,IPythonInputSplitter,Summary,3,1,input splitter recognizes ipython special syntax
376,ImageFileDescriptor,Summary,3,0,like filedescriptor imagefields difference assigning width height width field height field appropriate
382,IncompleteCategoryFormWithExclude,Summary,3,0,form replaces model url field custom one
386,Individual,Summary,3,0,model fk registered admin corresponding raw id widget magnifying glass link select related instance rendering called programmatically case
397,InputStreamExhausted,Expand,1,0,read allowed device
397,InputStreamExhausted,Summary,3,0,read allowed device
3006,InsecurePlatformWarning,Summary,3,0,warned certain ssl configuration available platform
3008,InspectedValidator,Summary,3,0,metaclass validators
3012,InstalledDistribution,Usage,4,0,read metadata contained pydist json instantiated us passed metadata instance useful dry run mode used
400,IntFromGeom,DevelopmentNotes,0,1,argument geometry return type integer
400,IntFromGeom,Parameters,2,1,argument geometry return type integer
1874,IntegerArray,Summary,3,0,array integer optional missing value integerarray currently experimental api internal represent integerarray 2 numpy array data contains numpy integer array appropriate dtype mask boolean array holding mask data true missing construct integerarray generic array like input use func panda array one integer dtypes see example parameter value numpy ndarray 1 integer dtype array mask numpy ndarray 1 boolean dtype array indicating missing value copy bool default false whether copy value mask attribute none method none return integerarray example create integerarray func panda array int array pd array 1 none 3 dtype pd int32dtype int array integerarray 1 nan 3 length 3 dtype int32 string alias dtypes also available capitalized pd array 1 none 3 dtype int32 integerarray 1 nan 3 length 3 dtype int32 pd array 1 none 3 dtype uint16 integerarray 1 nan 3 length 3 dtype uint16
1078,InteractiveShellApp,Summary,3,0,part configuring shell environment following method called meth initialize method subclass meth init path meth init shell implemented subclass meth init gui pylab meth init extension meth init code
3019,InternalName,Summary,3,0,internal name compiler cannot create node parser provides meth jinja2 parser parser free identifier method creates new identifier identifier available template threated specially compiler
